Listing all pages crawled in BFS order for query: searchengines, for n: 500
URL: http://www.youtube.com/watch?v=EUP1z7SpsCY&feature=plcp, time: 2013-02-17T20:44:09.127506, size: 112597 bytes, return code: 200, depth: 2
URL: http://apps.search.yahoo.com/preferences/preferences, time: 2013-02-17T20:44:09.336939, size: 9088 bytes, return code: 200, depth: 2
URL: http://search.yahoo.com/r/_ylt=A0oG7hcahyFRikkAlDNS99l_/SIG=11gihrjnv/EXP=1361180570/**http%3a//www.yahoo.com/bin/set, time: 2013-02-17T20:44:09.991313, size: 15946 bytes, return code: 200, depth: 2
URL: http://search.yahoo.com/r/_ylt=A0oG7hcahyFRikkAkzNS99l_/SIG=11algkva1/EXP=1361180570/**http%3a//mail.yahoo.com/, time: 2013-02-17T20:44:09.995850, size: 119882 bytes, return code: 200, depth: 2
URL: http://help.yahoo.com/kb/index?page=content&y=PROD_SRCH&locale=en_US&id=SLN2229, time: 2013-02-17T20:44:10.452889, size: 47962 bytes, return code: 200, depth: 2
URL: http://news.search.yahoo.com/search;_ylt=A0oG7hcahyFRikkAnDNS99l_?p=&fr=altavista&fr2=piv-web, time: 2013-02-17T20:44:10.547048, size: 11644 bytes, return code: 200, depth: 2
URL: http://apps.search.yahoo.com/;_ylt=A0oG7hcahyFRikkAozNS99l_?ei=UTF-8&fr=altavista&fr2=tab-web&pf=android, time: 2013-02-17T20:44:11.559011, size: 115758 bytes, return code: 200, depth: 2
URL: http://apps.search.yahoo.com/;_ylt=A0oG7hcahyFRikkApzNS99l_?ei=UTF-8&fr=altavista&fr2=tab-web&cy=Social+Networking, time: 2013-02-17T20:44:11.838131, size: 121174 bytes, return code: 200, depth: 2
URL: http://apps.search.yahoo.com/;_ylt=A0oG7hcahyFRikkAqDNS99l_?ei=UTF-8&fr=altavista&fr2=tab-web&cy=Productivity, time: 2013-02-17T20:44:11.978265, size: 121525 bytes, return code: 200, depth: 2
URL: http://apps.search.yahoo.com/;_ylt=A0oG7hcahyFRikkAqTNS99l_?ei=UTF-8&fr=altavista&fr2=tab-web&cy=News, time: 2013-02-17T20:44:12.608343, size: 119045 bytes, return code: 200, depth: 2
